siren,count,nom,address,cp,Coordonnee X,Coordonnee Y,Latitude,Longitude
430050690,1,LE POEME HARMONIQUE VINCENT DUMESTRE,128 rue leon salva,76300,561016.4,6925627.2,49.414943079262436,1.0851019972858098
430053587,1,CLICHY MEDICAL SEARL,57 avenue de verdun,92390,650856.1,6870781.8,48.935132852659294,2.3292058562323907
430073734,1,EVOLUTION,route de marcillac,12850,665801.1,6363670.4,44.37123210803072,2.5708156424370814
430278226,2,PHARMACIE CHAMEANE,place chameane,58000,712645.8,6654770.9,46.99303784683455,3.1664003541374908
430383059,1,COLLEGE SAINT LAUD,11 rue pasteur,49130,434457.5,6707862.3,47.41778593647326,-0.5230090504057724
430439984,2,ACTES LIBRES,1 rue des trois epis,68230,1018198.9,6786281.4,48.09933485121602,7.276671233124193
430483974,2,COLLEGE SAINTE THERESE,8 rue homer clamaran,97354,359372.7,543385.5,4.914851576735608,-52.268312037448304
431265388,1,LES OPALINES DIGOIN,rue de robinson,71160,775901.5,6598258.8,46.480039535800785,3.9893852686612385
431371814,1,SELARL DR SALVATORE SESSA,place du 4 septembre,83100,940420.9,6229286.5,43.122380937117036,5.952757012770928
431625797,1,SAS LISA MENDI,route departementale 933,64220,358778.8,6238593.7,43.164989972096826,-1.1948323731374615
431708312,4,COLLEGE-LYCEE SAINT-CHARLES - LA PROVIDENCE,2 rue cordiere,22021,274277.8,6838838.2,48.50976713617154,-2.7688756522795566
431877208,1,CENTRE SOCIO-CULTUREL D'ILLZACH,1 rue pierre curie,68110,1026507.6,6750036.7,47.769552033536996,7.361238760227027
432046522,1,VOSGES SAONOISES MAINTENANCE/SARL,grande rue,70280,960604.4,6756694.7,47.858863428872034,6.486164216960518
432061042,1,OGEC SAINT PAUL,66 rue boileau,85000,362040.3,6628663.3,46.67284068751107,-1.4231691900492014
432321818,1,TRES TOT THEATRE,38 rue des reguaires,29000,171213.3,6790015.5,47.99644393692094,-4.099318294122833
432358471,1,PHARMACIE CORNU SCHLOUCH,avenue marcel pagnol,84110,866391.4,6351620.5,44.243840300213584,5.0836997547720255
432481034,2,COIFFURE CATHERINE,route de flayat,63620,658479.7,6522488.5,45.80075843174547,2.4654411087774304
432626877,2,PHARMACIE CHOURY,rue de la mairie,64430,347048.1,6240704.2,43.17824593167332,-1.3401840371440563
432875060,1,ECOLE SAINT MARTIN,7 rue de la daviere,53100,432397.6,6806422.1,48.30306098335365,-0.6100420276910196
432942084,1,FONDATION PARIS SAINT-GERMAIN,4 bis avenue kennedy,78100,632847.7,6868678.4,48.91459124685217,2.083750801896852
433128824,2,ISALARIAT SARL,11 rue de cambrai,75019,654556.0,6866416.7,48.89615192408914,2.380173504027037
433129145,2,LIBERTISALARIAT SARL,11 rue de cambrai,75019,654556.0,6866416.7,48.89615192408914,2.380173504027037
433241122,1,SERVICE D'AIDES RURALES PAR DES TRAVAILLEURS HANDICAPES,10 rue victor croyeau,72250,503241.1,6762840.0,47.936396218106296,0.3644325389035104
433366523,5,CLUB MED BAZIC,11 rue de cambrai,75019,654556.0,6866416.7,48.89615192408914,2.380173504027037
433465622,1,OBJECTIF FINANCE,grande rue,21700,845165.2,6666717.2,47.08487620150707,4.913601519532183
433596418,1,ETS REGNAULT SARL,rue de vilpre,77540,697719.0,6842043.9,48.678548978136476,2.9690184454166557
433838950,1,SAS PEY DE L´ANCRE,route des lacs,40660,347909.3,6311591.3,43.81546898761053,-1.3778951724090316
433843018,1,SARL VABEMA,avenue de la mayre,30200,829764.7,6340924.1,44.15532530354464,4.62242362745464
433948031,1,NORDON INDUSTRIE,chemin de rajat,38540,860140.8,6505478.7,45.63008157190362,5.055606816426199
434059614,10,GELIS DOMINIQUE,bourg,46100,606039.5,6374984.8,44.46759262758212,1.8187804840350936
434627972,1,SARL GROUSSET AUTOMOBILES,route de niort,79160,428619.9,6595635.7,46.40601237231325,-0.5337653783944719
434684791,1,KORIAN RAS DES AINES,chemin du puits,13420,912578.7,6246259.0,43.283785817875994,5.617984618939054
434784971,2,EURL KER MACH,rue gustave courbet,29600,197783.7,6853702.5,48.588271749439144,-3.8180374720401424
434902185,1,L'ENCRIER,1 rue jean zay,33380,384801.5,6401640.3,44.64242189851715,-0.9763226761720688
434929600,6,PHARMACIE DE LA CANOURGUE,place du pre commun,48500,716992.5,6370243.6,44.431029202500504,3.2134772842959447
435188750,1,SONAM,rue delbecque,62660,676907.3,7046879.2,50.51877588331232,2.6748915812624694
437493026,1,SARL MILLENIUM,16 rue des tilleuls,78960,630609.2,6851182.2,48.757015168024644,2.056064433285569
437498454,1,PHARMACIE GAY ET BREJON,pont de crau,13200,833199.8,6286381.7,43.66394081000541,4.65110246625903
437527211,2,SARL ATTI,55 avenue louis breguet,31400,577033.8,6276554.5,43.57738573646675,1.478064809402542
437538515,1,FOOTBALL CLUB SOCHAUX-MONTBELIARD,20 rue de la cote,25230,989612.2,6714130.0,47.46403905856629,6.845910455108755
437868425,3,COMMISSAIRES-PRISEURS MULTIMEDIA,13 rue de la grange bateliere,75009,651721.9,6863870.5,48.873048491906225,2.3418094409992807
437904576,1,WILLIAM SINCLAIR,9 rue dieu,75010,653379.4,6863556.4,48.87034596990987,2.364440134128896
437988918,2,PHARMACIE CAMBON,avenue jean berenguier,81800,597949.5,6302816.7,43.816987342730016,1.731666012356143
